Degree,Image Index
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6651.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6661.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6671.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6681.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6691.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6701.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6711.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6721.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6731.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6741.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6751.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6761.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6771.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6781.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6791.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6801.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6811.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6821.TIF
